代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳
sz000981,山子高科,3.05,0.28,10.108,3.05,0.0,2.77,2.98,3.05,2.88,1286010237.0,3873942589.0,15:00:00
sh600157,永泰能源,1.53,0.04,2.685,1.52,1.53,1.49,1.49,1.55,1.48,1170563228.0,1779045144.0,15:00:02
sz002195,岩山科技,8.45,0.3,3.681,8.45,8.46,8.15,8.16,8.83,8.07,1127543786.0,9461498602.0,15:00:00
sh600518,康美药业,2.18,0.1,4.808,2.18,2.19,2.08,2.08,2.27,2.07,954629499.0,2086039031.0,15:00:02
sz002131,利欧股份,5.99,0.03,0.503,5.98,5.99,5.96,5.97,6.11,5.9,862300407.0,5162717916.0,15:00:00
sh600103,青山纸业,4.59,0.41,9.809,4.58,4.59,4.18,4.42,4.6,4.1,848867454.0,3758939018.0,15:00:02
sz002146,荣盛发展,1.93,0.18,10.286,1.93,0.0,1.75,1.82,1.93,1.77,844757154.0,1579307628.0,15:00:00
sh600010,包钢股份,2.51,-0.01,-0.397,2.51,2.52,2.52,2.52,2.56,2.49,826010180.0,2076089417.0,15:00:02
sh601929,吉视传媒,6.14,-0.11,-1.76,6.14,6.15,6.25,6.08,6.5,5.64,710720847.0,4295193922.0,15:00:00
sz000564,供销大集,2.66,-0.06,-2.206,2.66,2.67,2.72,2.69,2.77,2.66,697142687.0,1873669652.0,15:00:00
sz002269,美邦服饰,2.87,-0.07,-2.381,2.87,2.88,2.94,3.11,3.23,2.85,644692672.0,1961701525.0,15:00:00
sh600601,方正科技,11.93,0.63,5.575,11.93,11.94,11.3,11.55,12.38,11.38,610755800.0,7268550039.0,15:00:03
sh600221,海航控股,1.62,0.01,0.621,1.62,1.63,1.61,1.6,1.66,1.6,604797636.0,983152362.0,15:00:01
sz000725,京东方Ａ,4.16,-0.01,-0.24,4.16,4.17,4.17,4.17,4.25,4.15,578783698.0,2424286731.0,15:00:00
sh600016,民生银行,4.33,-0.05,-1.142,4.33,4.34,4.38,4.39,4.41,4.3,563272583.0,2449864175.0,15:00:05
sh601818,光大银行,3.61,-0.02,-0.551,3.6,3.61,3.63,3.65,3.68,3.57,522182691.0,1889478639.0,15:00:01
sz000980,众泰汽车,3.62,-0.11,-2.949,3.62,3.63,3.73,3.75,3.79,3.51,518997126.0,1895447499.0,15:00:00
sz000718,苏宁环球,3.52,0.21,6.344,3.52,3.53,3.31,3.44,3.64,3.15,508203973.0,1740365773.0,15:00:00
sh601099,太平洋,4.92,0.0,0.0,4.91,4.92,4.92,4.91,4.98,4.88,475490516.0,2345421411.0,15:00:02
sh600567,山鹰国际,2.03,0.08,4.103,2.02,2.03,1.95,1.96,2.06,1.96,469789007.0,943288923.0,15:00:04
